,B1_x_mean,B1_x_std,B1_x_skew,B1_x_kurtosis,B1_x_entropy,B1_x_rms,B1_x_max,B1_x_p2p,B1_x_crest,B1_x_clearence,B1_x_shape,B1_x_impulse,B1_y_mean,B1_y_std,B1_y_skew,B1_y_kurtosis,B1_y_entropy,B1_y_rms,B1_y_max,B1_y_p2p,B1_y_crest,B1_y_clearence,B1_y_shape,B1_y_impulse,B2_x_mean,B2_x_std,B2_x_skew,B2_x_kurtosis,B2_x_entropy,B2_x_rms,B2_x_max,B2_x_p2p,B2_x_crest,B2_x_clearence,B2_x_shape,B2_x_impulse,B2_y_mean,B2_y_std,B2_y_skew,B2_y_kurtosis,B2_y_entropy,B2_y_rms,B2_y_max,B2_y_p2p,B2_y_crest,B2_y_clearence,B2_y_shape,B2_y_impulse,B3_x_mean,B3_x_std,B3_x_skew,B3_x_kurtosis,B3_x_entropy,B3_x_rms,B3_x_max,B3_x_p2p,B3_x_crest,B3_x_clearence,B3_x_shape,B3_x_impulse,B3_y_mean,B3_y_std,B3_y_skew,B3_y_kurtosis,B3_y_entropy,B3_y_rms,B3_y_max,B3_y_p2p,B3_y_crest,B3_y_clearence,B3_y_shape,B3_y_impulse,B4_x_mean,B4_x_std,B4_x_skew,B4_x_kurtosis,B4_x_entropy,B4_x_rms,B4_x_max,B4_x_p2p,B4_x_crest,B4_x_clearence,B4_x_shape,B4_x_impulse,B4_y_mean,B4_y_std,B4_y_skew,B4_y_kurtosis,B4_y_entropy,B4_y_rms,B4_y_max,B4_y_p2p,B4_y_crest,B4_y_clearence,B4_y_shape,B4_y_impulse
10/22/2003 12:06,0.104147859,0.08112446,-0.029899884,1.069799892,4.803056948,0.124616767,0.72,1.108,5.777713698,0.090931723,1.196537002,6.913248226,0.100252747,0.070650571,0.220227357,3.067002236,4.585194938,0.117495706,0.701,1.265,5.966175489,0.089294883,1.171994879,6.992327123,0.107147273,0.090650198,-0.092181919,0.209948819,4.985813055,0.1304522,0.674,1.033,5.166643426,0.092217731,1.217503687,6.29040742,0.102004151,0.077511077,-0.053117689,0.292500695,4.864916822,0.121644498,0.53,0.786,4.356958255,0.089248813,1.192544591,5.195867001,0.106148542,0.091465207,0.03435077,0.40567118,5.027651658,0.128888109,0.496,0.896,3.84829916,0.09162759,1.214224008,4.672697229,0.108150349,0.095489902,-0.022286462,0.777436295,4.930003727,0.131821014,0.784,1.199,5.947458432,0.093391907,1.21886813,7.249167536,0.094802529,0.060086901,0.046532255,0.790685544,4.607007706,0.109019425,0.413,0.662,3.788315715,0.085565354,1.149963249,4.356423848,0.099513111,0.066382409,0.008208298,1.80871884,4.690579929,0.115265968,0.471,0.845,4.086201757,0.089551362,1.15829931,4.733044674
10/22/2003 12:09,0.103651301,0.079519151,-0.070118409,1.161959951,4.844845755,0.123811519,0.654,1.042,5.282222559,0.090783533,1.194500384,6.309616875,0.099853997,0.069532378,0.126541915,2.001591924,4.674024828,0.116834159,0.581,1.072,4.972860719,0.089011228,1.170049901,5.81849519,0.108189023,0.09026211,-0.101495267,0.229619578,5.014908181,0.131490123,0.645,0.936,4.905311401,0.093246326,1.215373978,5.961787829,0.102919967,0.076742053,-0.033070132,0.291975589,4.856479378,0.122180595,0.625,0.867,5.115378581,0.090363191,1.187141806,6.072679767,0.106660921,0.091736577,0.001110721,0.445954134,4.985829559,0.129563952,0.566,1.059,4.368499039,0.092041843,1.214727483,5.306535843,0.10845847,0.094385927,-0.02872759,0.682839758,5.057129505,0.132052244,0.576,0.993,4.361909983,0.09364638,1.217537405,5.310788561,0.095070072,0.059422761,0.085151634,1.235093783,4.590645543,0.108900012,0.42,0.796,3.856748895,0.086097145,1.145471016,4.417794077,0.093586943,0.064747002,-0.053721312,1.873845363,4.666141918,0.109209979,0.627,0.9,5.74123359,0.083761862,1.166936069,6.699652556
10/22/2003 12:14,0.105038723,0.080220267,-0.041578885,0.986724383,4.889310792,0.12524886,0.623,0.94,4.974097156,0.092058193,1.192406545,5.931146006,0.101542653,0.06946635,0.151146524,1.969713136,4.72506084,0.118386835,0.549,1.018,4.637339963,0.090673241,1.165882816,5.406594976,0.108543435,0.090235384,-0.092175614,0.209276448,5.014193212,0.131900838,0.613,0.952,4.647430654,0.093536126,1.215189466,5.647508774,0.104041799,0.077100053,-0.028952383,0.173487797,4.859436713,0.12357404,0.432,0.718,3.495879887,0.091146841,1.187734555,4.152177341,0.108740222,0.091817128,0.05303123,0.389961699,5.033127582,0.131339317,0.601,0.987,4.575933639,0.094236855,1.207826462,5.526933739,0.109875385,0.094055348,0.019565655,0.751218078,5.051881655,0.133294588,0.62,0.984,4.65135163,0.095119258,1.213143314,5.642756133,0.096157771,0.059970779,0.009628373,0.925041856,4.602957033,0.110320301,0.396,0.657,3.589547869,0.086970499,1.147284292,4.118231884,0.09829855,0.065256071,0.047069205,1.430242009,4.681036691,0.113695141,0.601,0.977,5.286065811,0.088435956,1.156630914,6.114027131
10/22/2003 12:19,0.104900142,0.080827892,0.005234613,1.034758176,4.852691406,0.12520001,0.598,1.055,4.776357442,0.091833053,1.193516121,5.700659607,0.101573319,0.071267545,0.099599027,1.746190028,4.75085047,0.119007238,0.535,1.009,4.495524886,0.090402265,1.171638764,5.267131223,0.108151521,0.090276564,-0.105780749,0.189212165,5.014908766,0.131616196,0.598,0.884,4.54351378,0.092949992,1.216961118,5.529279608,0.103377753,0.076531137,-0.050478202,0.320134201,4.852348958,0.122749623,0.483,0.727,3.934838956,0.090689909,1.187389163,4.672185135,0.108068265,0.092385985,-0.023743808,0.26255064,5.040657951,0.131077775,0.552,0.874,4.211240226,0.093503982,1.21291644,5.107882501,0.110010108,0.09650842,-0.008437739,0.667691212,5.040339575,0.133972326,0.684,1.036,5.105532015,0.094920304,1.217818332,6.217610481,0.096813858,0.059918236,-0.037239823,0.652947085,4.604433702,0.111038275,0.393,0.591,3.539320106,0.087622814,1.146925424,4.059336212,0.098601787,0.066304285,0.021169112,1.378689008,4.696194171,0.114414865,0.525,0.852,4.588564601,0.088514501,1.160373137,5.324447101
10/22/2003 12:24,0.104778602,0.08203754,-0.060122898,1.110657758,4.889992689,0.125620796,0.623,1.011,4.959369949,0.091479118,1.198916505,5.945870486,0.102181112,0.072148993,0.096042752,1.182352679,4.783104388,0.119679269,0.537,0.923,4.486992644,0.090913038,1.171246489,5.25537438,0.107943308,0.088865743,-0.091988611,0.261055316,4.943857595,0.130780215,0.725,1.074,5.543651991,0.093301367,1.211563902,6.716488636,0.102629474,0.076046736,-0.044401822,0.341260739,4.846423973,0.121868717,0.571,0.837,4.685369742,0.090110913,1.187463136,5.563703849,0.108453977,0.091936104,0.027090966,0.326403482,5.032258381,0.131309155,0.527,0.998,4.013429223,0.093842006,1.210736188,4.859204,0.109349626,0.095047385,-0.024844173,0.475546571,5.030936517,0.133281957,0.623,1.055,4.67430113,0.094207488,1.218860648,5.697321703,0.096357586,0.05925744,0.036434785,0.635986851,4.594110104,0.110189135,0.376,0.591,3.412314644,0.0873162,1.14354396,3.902131802,0.098470824,0.066281021,0.008713377,1.498302934,4.693571764,0.1142599,0.522,0.871,4.56853193,0.088455127,1.160342681,5.301062589
10/22/2003 12:29,0.105231457,0.081731429,-0.054096578,1.095456404,4.905036811,0.125990984,0.564,0.996,4.476510807,0.091993398,1.197274919,5.359614113,0.101729967,0.071847074,0.118797266,1.971507047,4.488604784,0.119279152,0.703,1.294,5.893737389,0.090361607,1.172507527,6.910451451,0.107680697,0.089871447,-0.048928585,0.22734714,4.989116513,0.130434476,0.701,1.023,5.374345964,0.093070761,1.21130787,6.509987561,0.102310318,0.076283586,-0.034937096,0.143714058,4.850573366,0.121717935,0.427,0.664,3.508110784,0.089496814,1.189693644,4.173577102,0.108508326,0.093538294,-0.014764234,0.324403544,5.052019188,0.131712235,0.522,0.876,3.963185354,0.093835549,1.213844505,4.810690766,0.110450217,0.096304061,0.062471589,0.589176872,5.070362209,0.134086179,0.559,1.023,4.168960635,0.095471919,1.213996512,5.061103669,0.106971825,0.058608041,0.006740462,0.687577082,4.58270842,0.120047991,0.4,0.559,3.332000789,0.098559332,1.122239347,3.739302389,0.098180282,0.065403848,-0.005607198,1.128855898,4.685113539,0.113725524,0.43,0.681,3.78103336,0.088250809,1.158333643,4.379698145
10/22/2003 12:34,0.105031252,0.081315173,-0.021053228,0.888435309,4.806630348,0.125480354,0.667,1.106,5.31557316,0.09184446,1.194695406,6.350490833,0.101043752,0.070789478,0.058890639,1.037981336,4.76529057,0.118344913,0.5,0.881,4.224938668,0.089867798,1.171224452,4.948351476,0.108274965,0.090659803,-0.083164988,0.125878047,5.021530798,0.131565193,0.598,0.859,4.545275131,0.093378825,1.215102619,5.522975715,0.10279125,0.076790672,-0.041931012,0.206118095,4.857713692,0.122226789,0.464,0.72,3.796221791,0.090159069,1.189077762,4.514002913,0.108365789,0.09215534,0.017305757,0.247314102,5.036822096,0.131036041,0.508,0.818,3.876796006,0.093889538,1.209201185,4.687826325,0.109621612,0.095138962,0.012777276,0.436793166,5.066405336,0.133005641,0.596,0.984,4.481012949,0.094871535,1.213315862,5.436884087,0.051722447,0.063494357,-0.012954136,0.614867143,4.661222038,0.066147985,0.332,0.64,5.019049324,0.043129596,1.278902845,6.418876461,0.097065726,0.064714201,-0.068341498,1.238711922,4.673260936,0.112684662,0.466,0.749,4.135434155,0.08718968,1.160910929,4.800870707
10/22/2003 12:39,0.104774696,0.080229764,-0.014141854,0.900807926,4.88959493,0.125076947,0.603,0.984,4.821032278,0.091554796,1.193770557,5.755206389,0.101377265,0.070942172,0.05414937,1.295270856,4.766454456,0.118715131,0.505,0.942,4.25388066,0.09020374,1.171023223,4.981393041,0.107300991,0.088762911,-0.069777648,0.139427159,4.998791313,0.130013273,0.613,0.877,4.714903232,0.092621036,1.211668888,5.712901557,0.102939743,0.076456501,-0.034632124,0.333756504,4.85112485,0.122141118,0.588,0.839,4.814103634,0.090369018,1.186530239,5.712079533,0.107926412,0.091653175,0.049847763,0.691536759,4.900037109,0.130776423,0.623,1.167,4.763855636,0.093461681,1.21171843,5.772451673,0.109742468,0.095819056,-0.034381786,0.796861858,5.069512675,0.133566498,0.605,0.979,4.529578956,0.094795902,1.217090347,5.512906823,0.102544802,0.058407462,0.023723038,0.869005789,4.575287691,0.115741793,0.398,0.591,3.438688749,0.094060843,1.128694876,3.881230372,0.097953855,0.06492919,-0.014279618,1.484483359,4.671361187,0.113333565,0.532,0.788,4.694108053,0.088174673,1.157009745,5.43112876
10/22/2003 12:44,0.105172225,0.080809317,-0.020660784,0.939212991,4.834647322,0.125386394,0.696,1.109,5.550841516,0.09220606,1.192200636,6.617716784,0.101754236,0.071804511,0.133269755,1.669114556,4.76521456,0.119180666,0.579,1.043,4.858170526,0.090538191,1.171259997,5.690180797,0.108407491,0.088714288,-0.063942728,0.124377038,4.999816219,0.131227123,0.61,0.898,4.648429289,0.093583433,1.210498664,5.626917445,0.103155232,0.07601444,-0.056493976,0.235774124,4.84687868,0.122518173,0.479,0.708,3.909624091,0.090443268,1.18770682,4.643487197,0.108577665,0.091077327,0.035422208,0.342576615,5.02602588,0.13096236,0.574,0.921,4.382938736,0.094234479,1.20616298,5.286538446,0.108821817,0.093606884,0.000749599,0.601838663,5.027215738,0.13209742,0.693,1.025,5.246128179,0.094096495,1.213887284,6.368208289,0.067549587,0.060298535,-0.081062072,0.807718504,4.609140946,0.082907617,0.388,0.627,4.679907733,0.057946226,1.227359347,5.743928498,0.09769603,0.064231328,0.044016497,1.516185953,4.662936028,0.112851377,0.505,0.954,4.474912162,0.088035655,1.155127563,5.16909438
10/22/2003 12:49,0.104383075,0.081250245,0.012930409,0.922774402,4.836630155,0.124828124,0.625,1.104,5.006884497,0.091222383,1.195865554,5.987560703,0.101311539,0.071438107,0.095921405,1.503738866,4.770777041,0.118722785,0.535,0.994,4.506295916,0.090094099,1.171858471,5.28074104,0.10692778,0.088532575,-0.085241979,-0.00997952,4.995587685,0.12981795,0.491,0.784,3.782219629,0.092096632,1.214071317,4.591884368,0.102474681,0.075771949,-0.014971014,0.186695703,4.844105928,0.121639526,0.542,0.84,4.455788478,0.089821871,1.187020293,5.289111346,0.108192295,0.09197977,0.035488487,0.440170996,5.033701845,0.131012777,0.535,0.97,4.083571185,0.093582314,1.210925208,4.944899286,0.109517017,0.095582765,0.032022765,0.764045667,4.987465209,0.133219718,0.657,1.123,4.931702375,0.094579667,1.216429384,5.999067683,0.084749841,0.059827994,-0.02651012,0.957368057,4.59999903,0.099496031,0.396,0.682,3.980058251,0.075310583,1.173996667,4.672575121,0.098001563,0.065976615,0.029880792,1.221486564,4.691375856,0.11358475,0.464,0.747,4.085055424,0.088072961,1.159009583,4.734618386
